"Grove_Road","Charleville_Mall","Guild_Street","North_Strand_Rd_S_B","North_Strand_Rd_N_B","Time","Day","Month","Year"
12,1,5,4,16,"00:00:00",1,1,2019
17,1,6,8,14,"01:00:00",1,1,2019
18,2,2,9,9,"02:00:00",1,1,2019
18,1,3,5,15,"03:00:00",1,1,2019
12,1,5,3,8,"04:00:00",1,1,2019
15,4,5,4,9,"05:00:00",1,1,2019
9,6,6,12,9,"06:00:00",1,1,2019
24,1,12,9,9,"07:00:00",1,1,2019
28,0,12,11,11,"08:00:00",1,1,2019
25,1,13,13,10,"09:00:00",1,1,2019
26,3,9,27,12,"10:00:00",1,1,2019
38,1,13,20,18,"11:00:00",1,1,2019
35,0,18,12,21,"12:00:00",1,1,2019
39,1,15,17,31,"13:00:00",1,1,2019
38,1,17,12,20,"14:00:00",1,1,2019
37,0,25,20,21,"15:00:00",1,1,2019
46,0,12,11,21,"16:00:00",1,1,2019
39,4,16,11,16,"17:00:00",1,1,2019
45,1,12,4,28,"18:00:00",1,1,2019
51,4,10,3,16,"19:00:00",1,1,2019
33,2,12,9,20,"20:00:00",1,1,2019
20,4,9,2,17,"21:00:00",1,1,2019
19,2,4,5,9,"22:00:00",1,1,2019
23,2,3,3,17,"23:00:00",1,1,2019
10,0,2,1,9,"00:00:00",2,1,2019
3,0,1,1,1,"01:00:00",2,1,2019
3,0,1,0,2,"02:00:00",2,1,2019
4,0,1,2,0,"03:00:00",2,1,2019
10,1,2,7,6,"04:00:00",2,1,2019
25,0,17,13,2,"05:00:00",2,1,2019
84,2,76,55,12,"06:00:00",2,1,2019
233,5,96,152,39,"07:00:00",2,1,2019
538,18,172,356,40,"08:00:00",2,1,2019
207,7,86,149,24,"09:00:00",2,1,2019
57,4,36,42,22,"10:00:00",2,1,2019
70,2,20,31,23,"11:00:00",2,1,2019
52,1,32,35,25,"12:00:00",2,1,2019
66,2,27,42,43,"13:00:00",2,1,2019
71,6,32,41,38,"14:00:00",2,1,2019
86,2,27,23,76,"15:00:00",2,1,2019
188,7,53,45,162,"16:00:00",2,1,2019
386,4,113,62,322,"17:00:00",2,1,2019
270,7,88,16,187,"18:00:00",2,1,2019
109,6,36,2,79,"19:00:00",2,1,2019
81,2,20,3,37,"20:00:00",2,1,2019
56,4,13,4,35,"21:00:00",2,1,2019
34,2,11,5,34,"22:00:00",2,1,2019
18,0,7,4,24,"23:00:00",2,1,2019
9,1,4,1,7,"00:00:00",3,1,2019
6,0,0,1,7,"01:00:00",3,1,2019
4,0,2,0,4,"02:00:00",3,1,2019
6,0,2,1,5,"03:00:00",3,1,2019
14,0,2,4,5,"04:00:00",3,1,2019
23,0,23,24,3,"05:00:00",3,1,2019
89,4,88,79,12,"06:00:00",3,1,2019
281,6,109,146,48,"07:00:00",3,1,2019
639,20,194,428,56,"08:00:00",3,1,2019
290,5,109,193,27,"09:00:00",3,1,2019
77,4,38,42,14,"10:00:00",3,1,2019
64,3,24,26,17,"11:00:00",3,1,2019
86,3,27,39,33,"12:00:00",3,1,2019
89,5,39,38,35,"13:00:00",3,1,2019
77,8,30,20,60,"14:00:00",3,1,2019
101,4,39,27,70,"15:00:00",3,1,2019
207,7,63,45,143,"16:00:00",3,1,2019
460,8,131,74,373,"17:00:00",3,1,2019
334,11,99,15,240,"18:00:00",3,1,2019
140,6,44,16,98,"19:00:00",3,1,2019
89,8,23,6,53,"20:00:00",3,1,2019
51,6,14,3,35,"21:00:00",3,1,2019
50,6,26,5,31,"22:00:00",3,1,2019
27,3,7,4,29,"23:00:00",3,1,2019
6,4,6,5,22,"00:00:00",4,1,2019
10,1,0,1,10,"01:00:00",4,1,2019
1,1,1,0,8,"02:00:00",4,1,2019
8,1,1,1,5,"03:00:00",4,1,2019
12,0,2,3,3,"04:00:00",4,1,2019
27,0,19,15,6,"05:00:00",4,1,2019
93,3,69,50,11,"06:00:00",4,1,2019
238,10,102,105,41,"07:00:00",4,1,2019
580,13,177,367,53,"08:00:00",4,1,2019
288,8,110,164,26,"09:00:00",4,1,2019
70,4,41,49,18,"10:00:00",4,1,2019
56,4,28,35,25,"11:00:00",4,1,2019
80,7,36,30,31,"12:00:00",4,1,2019
71,4,31,24,44,"13:00:00",4,1,2019
90,5,35,33,65,"14:00:00",4,1,2019
115,5,38,32,83,"15:00:00",4,1,2019
186,7,70,48,148,"16:00:00",4,1,2019
375,13,119,41,257,"17:00:00",4,1,2019
285,8,80,16,182,"18:00:00",4,1,2019
122,5,38,6,52,"19:00:00",4,1,2019
74,2,21,3,27,"20:00:00",4,1,2019
39,2,19,2,23,"21:00:00",4,1,2019
52,4,14,4,28,"22:00:00",4,1,2019
40,3,11,4,34,"23:00:00",4,1,2019
24,1,8,3,16,"00:00:00",5,1,2019
10,2,3,0,9,"01:00:00",5,1,2019
9,0,2,1,9,"02:00:00",5,1,2019
10,0,1,0,9,"03:00:00",5,1,2019
6,1,3,3,5,"04:00:00",5,1,2019
18,0,12,7,5,"05:00:00",5,1,2019
25,0,12,14,8,"06:00:00",5,1,2019
46,0,28,26,7,"07:00:00",5,1,2019
50,1,19,22,11,"08:00:00",5,1,2019
71,1,21,37,21,"09:00:00",5,1,2019
59,2,33,25,18,"10:00:00",5,1,2019
85,5,30,30,24,"11:00:00",5,1,2019
73,4,20,22,30,"12:00:00",5,1,2019
79,1,43,26,42,"13:00:00",5,1,2019
85,2,34,29,37,"14:00:00",5,1,2019
87,5,27,27,38,"15:00:00",5,1,2019
118,1,21,27,43,"16:00:00",5,1,2019
74,7,28,41,43,"17:00:00",5,1,2019
84,5,30,19,36,"18:00:00",5,1,2019
80,2,20,12,36,"19:00:00",5,1,2019
51,5,11,11,36,"20:00:00",5,1,2019
43,3,9,0,17,"21:00:00",5,1,2019
41,3,19,5,25,"22:00:00",5,1,2019
37,4,8,1,27,"23:00:00",5,1,2019
19,1,4,3,19,"00:00:00",6,1,2019
9,1,1,1,14,"01:00:00",6,1,2019
11,1,1,4,10,"02:00:00",6,1,2019
9,1,1,3,6,"03:00:00",6,1,2019
9,1,3,2,6,"04:00:00",6,1,2019
8,1,8,6,5,"05:00:00",6,1,2019
20,0,12,16,6,"06:00:00",6,1,2019
33,0,18,17,8,"07:00:00",6,1,2019
42,0,22,20,15,"08:00:00",6,1,2019
57,2,31,24,13,"09:00:00",6,1,2019
59,2,27,29,21,"10:00:00",6,1,2019
76,4,28,33,16,"11:00:00",6,1,2019
65,2,30,29,32,"12:00:00",6,1,2019
80,5,36,33,36,"13:00:00",6,1,2019
91,6,31,45,31,"14:00:00",6,1,2019
67,6,33,35,45,"15:00:00",6,1,2019
86,3,25,32,48,"16:00:00",6,1,2019
81,3,20,16,33,"17:00:00",6,1,2019
74,1,21,6,32,"18:00:00",6,1,2019
66,2,30,8,33,"19:00:00",6,1,2019
57,4,19,12,24,"20:00:00",6,1,2019
28,1,8,5,20,"21:00:00",6,1,2019
26,0,12,4,23,"22:00:00",6,1,2019
18,2,8,4,14,"23:00:00",6,1,2019
12,2,0,6,12,"00:00:00",7,1,2019
5,0,0,0,5,"01:00:00",7,1,2019
3,0,1,1,4,"02:00:00",7,1,2019
4,1,1,1,1,"03:00:00",7,1,2019
10,0,4,7,7,"04:00:00",7,1,2019
35,0,27,17,5,"05:00:00",7,1,2019
126,4,99,72,13,"06:00:00",7,1,2019
398,12,146,130,40,"07:00:00",7,1,2019
940,23,263,410,66,"08:00:00",7,1,2019
340,18,154,265,30,"09:00:00",7,1,2019
79,5,56,68,27,"10:00:00",7,1,2019
55,2,27,35,21,"11:00:00",7,1,2019
73,10,27,32,38,"12:00:00",7,1,2019
89,8,34,52,47,"13:00:00",7,1,2019
78,2,32,35,46,"14:00:00",7,1,2019
92,2,30,38,68,"15:00:00",7,1,2019
236,6,81,64,193,"16:00:00",7,1,2019
520,24,164,83,473,"17:00:00",7,1,2019
436,7,118,46,371,"18:00:00",7,1,2019
185,6,62,3,102,"19:00:00",7,1,2019
113,5,40,3,64,"20:00:00",7,1,2019
73,3,18,9,48,"21:00:00",7,1,2019
49,1,14,13,36,"22:00:00",7,1,2019
21,1,11,1,15,"23:00:00",7,1,2019
11,3,5,3,13,"00:00:00",8,1,2019
1,0,0,0,7,"01:00:00",8,1,2019
2,0,2,2,5,"02:00:00",8,1,2019
2,2,1,1,6,"03:00:00",8,1,2019
10,0,2,5,5,"04:00:00",8,1,2019
34,0,26,23,5,"05:00:00",8,1,2019
132,4,95,76,13,"06:00:00",8,1,2019
424,12,144,151,51,"07:00:00",8,1,2019
963,24,277,464,71,"08:00:00",8,1,2019
347,14,166,226,29,"09:00:00",8,1,2019
83,3,34,77,19,"10:00:00",8,1,2019
76,3,32,39,18,"11:00:00",8,1,2019
75,12,34,41,55,"12:00:00",8,1,2019
94,3,43,43,59,"13:00:00",8,1,2019
85,8,32,40,58,"14:00:00",8,1,2019
125,3,44,39,68,"15:00:00",8,1,2019
267,9,71,67,169,"16:00:00",8,1,2019
543,15,169,88,480,"17:00:00",8,1,2019
478,10,137,51,410,"18:00:00",8,1,2019
247,4,76,8,106,"19:00:00",8,1,2019
126,3,39,3,59,"20:00:00",8,1,2019
84,6,12,3,51,"21:00:00",8,1,2019
63,3,16,7,43,"22:00:00",8,1,2019
33,1,8,5,27,"23:00:00",8,1,2019
16,2,4,2,8,"00:00:00",9,1,2019
7,0,3,0,8,"01:00:00",9,1,2019
3,0,0,0,4,"02:00:00",9,1,2019
1,0,2,1,1,"03:00:00",9,1,2019
14,2,2,7,5,"04:00:00",9,1,2019
34,0,21,24,6,"05:00:00",9,1,2019
136,1,98,76,9,"06:00:00",9,1,2019
372,8,150,155,55,"07:00:00",9,1,2019
944,28,303,460,73,"08:00:00",9,1,2019
351,21,183,245,36,"09:00:00",9,1,2019
93,2,51,52,19,"10:00:00",9,1,2019
72,2,37,35,18,"11:00:00",9,1,2019
83,8,42,49,40,"12:00:00",9,1,2019
115,5,44,54,55,"13:00:00",9,1,2019
89,5,28,37,66,"14:00:00",9,1,2019
124,4,37,37,74,"15:00:00",9,1,2019
235,10,78,50,183,"16:00:00",9,1,2019
533,15,161,89,412,"17:00:00",9,1,2019
476,16,138,33,330,"18:00:00",9,1,2019
237,2,70,19,158,"19:00:00",9,1,2019
127,3,38,7,76,"20:00:00",9,1,2019
90,3,25,4,46,"21:00:00",9,1,2019
63,2,28,2,27,"22:00:00",9,1,2019
33,1,12,6,39,"23:00:00",9,1,2019
14,1,4,4,12,"00:00:00",10,1,2019
10,1,0,2,6,"01:00:00",10,1,2019
3,0,0,0,1,"02:00:00",10,1,2019
7,0,1,1,7,"03:00:00",10,1,2019
6,0,3,5,6,"04:00:00",10,1,2019
33,0,22,21,4,"05:00:00",10,1,2019
131,5,114,74,9,"06:00:00",10,1,2019
384,9,122,164,52,"07:00:00",10,1,2019
